Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
4,2,4,1,2,2,2,4,3,4,2,2,2,3,4,13697,8198,5983,3333,7922,4245,19319,3551,6967,4017,6673,13202,5395,4840,4076,3,113,184,5,6,4,7,3,5,3,5,3,2,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,15,1,2,3,5,2,1,3,
1,3,1,1,3,3,4,1,1,3,4,1,1,1,5,8953,14502,10235,625,16252,6866,10185,3971,4510,23433,11791,7237,4633,6154,9501,18,141,145,1,7,6,3,4,7,5,1,5,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,3,2,1,26,1,1,1,5,2,1,2,Psychology
3,2,1,3,5,4,2,2,2,4,3,2,2,2,4,5517,4515,3864,5622,6264,6991,17315,8632,2727,9793,8853,4252,12245,4967,4894,1,109,137,2,5,5,6,5,5,4,5,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,3,1,15,1,1,5,4,2,1,0,
1,2,2,1,1,1,3,4,2,4,3,1,1,1,5,3893,13148,8092,13484,4556,4095,24294,7873,10463,5475,15211,9328,7944,7368,5783,3,154,179,5,6,3,7,5,5,6,6,2,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,36,1,12,2,4,1,2,2,molecular biology
2,1,1,1,4,3,2,1,2,5,3,1,2,2,4,5263,7822,5311,8051,5849,5661,5343,3247,5579,3874,4714,3667,7557,4769,6777,1326,85,93,2,2,6,3,5,6,7,5,5,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,2,1,19,2,1,1,4,2,1,2,"Education, French"
4,5,3,3,4,5,4,5,2,4,4,3,5,3,5,11286,10003,7186,156004,4114,4386,5282,3427,6342,4764,5605,11331,8577,6430,3524,2,249,237,5,6,7,1,6,5,5,5,6,5,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,2,2,20,1,1,1,4,2,1,2,psychology
5,5,1,4,3,3,3,3,5,3,5,4,3,4,5,23344,13404,10009,6640,10716,21545,10222,3505,9063,12752,8397,7712,8032,11272,3849,6,162,201,4,6,6,5,7,1,4,7,5,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,2,2,18,1,12,1,4,2,1,1,Business administration
2,1,1,1,1,1,1,1,2,1,4,1,1,4,4,15436,6710,3753,7757,7968,5694,5222,4240,9170,4876,8162,7130,5062,4794,5784,8,102,157,5,1,3,2,5,2,6,5,6,2,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,2,2,1,52,1,2,3,4,2,2,4,
4,4,2,2,4,2,4,1,2,4,5,4,3,4,4,8644,5492,3876,5535,4120,4640,6469,2690,4728,4248,5215,4704,4160,7728,4312,3,77,76,6,5,4,5,6,3,3,5,4,6,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,2,1,1,13,1,0,1,5,2,1,1,
4,4,1,1,4,3,4,1,1,4,4,4,1,1,4,5568,3797,2952,3045,3009,6048,4758,3529,2768,5176,4495,3733,3697,8962,4377,2294,67,140,1,1,5,7,6,7,7,6,2,7,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,2,2,3,1,21,2,2,3,4,1,1,0,
5,1,1,4,4,5,1,1,1,5,4,1,1,4,4,5640,10079,892,5829,7097,4366,7251,2111,2522,4308,7936,5631,4772,5977,4881,1296,82,118,2,1,6,7,2,7,3,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,2,2,1,26,1,6,4,4,2,1,3,
1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,9717,28817,8729,8740,14398,14853,10752,112151,9694,5975,15937,10315,7733,11896,7169,2,275,184,7,3,5,1,6,1,7,5,6,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,1,20,1,5,1,4,2,1,4,
4,2,1,4,4,4,1,1,1,4,4,1,1,1,5,2560,5900,2499,4684,8866,3065,3852,2100,2864,3617,5201,7049,4148,4918,3884,2,66,94,2,5,7,2,3,7,3,2,6,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,1,19,1,5,1,4,2,1,3,
3,4,1,2,4,2,1,1,1,4,1,1,1,3,5,9445,8045,2398,4233,3833,3783,4946,1484,3723,5057,4944,1614,4585,4180,7166,4,70,82,1,5,7,6,7,7,1,2,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,2,2,1,18,1,2,2,4,2,1,1,Fine Arts
1,1,2,1,1,1,1,3,1,2,4,2,1,1,5,4385,2998,6396,6169,6136,1065,3417,3179,2600,4294,4753,19599,5960,1925,1203,890,80,159,4,3,2,1,7,6,7,5,6,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,2,2,1,2,22,1,10,1,4,1,1,2,Russian
1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4284,3502,3173,3744,2959,5030,7387,2450,3528,5282,4035,4532,3986,4301,4060,263,67,85,2,5,4,7,2,6,3,4,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,15,1,2,2,4,2,1,2,
5,5,3,3,5,3,4,4,4,4,4,4,4,3,4,10156,6732,5503,5137,5119,9804,6586,5170,6913,6779,4702,7620,5002,5705,7636,9,99,198,3,5,7,7,4,5,4,4,4,5,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,1,2,1,36,1,7,1,4,1,1,5,Nursing
2,3,1,2,2,2,3,1,1,4,3,2,1,1,4,5935,8700,3821,6028,7433,7063,1385,3320,3406,4137,6712,9187,6824,7162,6121,64516,97,78,3,5,4,5,7,2,1,5,4,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,19,1,2,3,4,2,1,3,
4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3320,4309,4249,3455,3274,3621,3066,1831,3467,3577,3489,3721,5828,3307,4306,6,55,77,6,5,5,4,5,3,6,3,5,3,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,1,1,33,2,2,1,4,1,1,2,
1,1,1,1,1,1,1,1,1,5,4,2,1,1,4,19864,7151,4184,6016,5101,7700,6301,3383,5485,10884,13883,15018,5901,6699,9701,13,142,243,7,3,6,2,6,2,7,3,6,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,1,1,67,1,1,1,4,1,2,3,Management Information Systems
4,5,3,4,5,5,4,3,5,5,4,4,3,4,5,9348,19384,10629,20284,20438,9352,10125,8720,12508,10134,12927,17823,16974,17049,8015,4,206,341,1,7,6,4,2,5,1,6,7,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,1,1,18,1,2,1,4,2,1,3,
4,4,3,4,5,4,3,5,3,5,3,3,4,3,3,5575,7184,3943,4968,16072,4984,5536,2559,5488,4768,5232,8512,9672,13991,5568,7,106,102,2,5,7,5,7,6,3,5,5,4,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,1,1,25,1,12,1,4,2,1,2,
4,3,4,4,5,5,2,5,4,5,4,2,4,4,5,6623,6495,5965,1590,1594,14227,3435,2183,2911,3078,3989,3792,2889,2972,1581,2,65,85,3,6,5,7,5,5,5,2,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,2,1,20,1,12,1,4,2,1,2,english
5,5,2,3,2,5,3,2,4,3,5,5,1,3,5,6127,7985,5773,3961,3921,3039,5429,1825,2773,3081,13249,7044,4746,3517,3485,25,78,98,2,3,1,5,6,6,7,7,3,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,2,1,1,43,1,2,1,4,2,3,2,
5,5,2,4,4,4,5,4,3,5,5,4,3,4,5,7454,12447,10175,27482,12868,9188,10476,5111,9547,10788,13595,20952,11883,7538,7760,9,178,299,6,4,6,2,6,1,6,4,4,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,1,2,37,1,12,1,4,2,2,2,Psychology
5,3,1,3,1,5,4,1,1,3,5,2,1,3,5,6916,9137,5514,10105,7543,3399,7645,6160,4939,13589,3463,6203,10109,6590,3748,6,108,167,2,2,6,3,7,6,7,1,6,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,2,1,28,1,2,2,4,2,1,3,Accounting
5,5,5,5,5,5,5,1,2,5,5,5,1,5,5,9682,13283,35337,7951,10672,19472,13072,6514,10702,8800,10336,12325,7106,9217,10505,4,186,226,3,6,3,5,4,2,1,3,4,2,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,3,1,1,38,1,1,1,4,2,2,2,Psychology
2,3,1,1,3,3,3,1,1,5,5,2,1,1,5,9911,11265,3023,2513,4801,4417,7537,2744,2728,4033,4112,5176,2888,5530,4056,3,75,132,2,7,5,7,7,7,1,7,4,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,2,1,1,33,1,2,1,3,2,1,2,information systems
5,4,4,5,5,5,5,4,5,5,4,4,4,5,5,24466,18978,6307,5479,6931,6289,9481,5983,5016,7161,6989,7226,6774,2034,7966,6,128,233,6,3,6,2,6,6,7,2,7,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,3,2,2,1,40,3,12,2,4,2,3,5,Social Science 
4,1,1,1,4,2,1,1,2,3,2,2,1,2,5,14195,18470,3498,11359,5585,10380,8271,2922,11486,23627,6859,17331,8247,6612,12714,11,163,164,3,5,6,3,5,5,5,3,6,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,2,43,1,3,1,1,2,2,2,computer science
5,1,1,1,1,1,1,1,1,1,5,1,1,1,4,8226,8684,8448,7086,7904,18749,5868,11331,10623,14786,5965,5546,6722,4884,8903,9,135,162,1,3,5,5,3,6,5,1,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,19,1,1,1,4,0,1,4,
4,1,1,1,3,2,1,1,1,3,1,1,1,1,1,9871,17413,8685,7656,18939,11560,5016,2077,1554,31114,5728,6811,2820,10177,5676,349,147,150,4,4,5,2,6,7,6,2,7,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,46,1,9,1,4,1,2,2,computer engineering
3,1,1,1,1,2,1,1,1,1,1,1,1,1,4,3826,3219,1515,2805,3251,4970,2342,1296,1458,1507,4960,3232,2556,3447,5101,431,49,63,4,7,3,6,6,5,3,6,2,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,2,1,2,1,19,1,1,3,4,1,1,2,political science
5,2,1,1,2,3,2,2,4,4,4,2,1,4,2,11806,10208,4902,6469,9845,13311,6793,4930,5606,9391,12134,12066,6561,10507,13348,3,139,174,6,7,7,5,7,1,5,2,5,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,1,2,49,1,2,1,4,2,1,1,
5,4,4,1,5,5,1,1,1,5,5,1,1,5,5,5150,23361,6189,5307,5238,11729,6207,18787,10645,16017,5890,10996,5773,10209,4305,1438,147,212,6,5,6,3,7,5,7,5,6,3,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,2,1,1,1,38,1,12,1,4,1,3,1,
5,3,2,3,4,5,3,3,3,4,4,4,2,3,5,7757,20563,6194,10421,5782,5640,15428,11877,10395,8414,6002,11004,13257,12758,5938,53,153,210,3,4,6,2,6,5,6,4,5,2,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,3,1,1,65,1,12,1,5,2,2,2,Math / Philosophy
3,2,1,3,4,4,2,1,2,5,4,2,1,4,4,6705,2840,2708,4099,3561,7136,2688,2440,2640,5728,2976,3720,4047,4129,1120,14,58,101,2,5,3,7,6,7,2,5,3,4,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,3,1,2,26,1,1,3,4,1,1,1,International relations
5,4,3,4,4,5,4,4,2,4,3,4,3,3,4,7500,10252,5881,4044,8820,6138,7874,2495,4380,7467,6135,162750,5895,5791,9728,465,256,126,5,6,6,3,6,5,5,3,6,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,1,2,36,1,1,1,4,1,1,1,
1,2,1,1,1,1,2,1,1,2,1,2,1,1,4,7926,10926,3032,2248,5800,987,11533,1004,1710,8834,1088,19253,3000,7248,3726,302,90,80,7,6,7,5,6,1,6,5,7,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,2,1,1,20,1,2,2,1,2,1,2,Physics
4,2,1,1,4,4,2,1,4,1,4,1,1,3,5,36734,20536,5933,18503,14001,12534,15901,6785,15617,8136,6469,10949,4417,7400,9485,3,195,209,4,6,6,2,6,5,5,3,5,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,32,1,2,1,4,1,2,3,history
5,5,2,4,4,5,5,2,1,5,3,5,1,5,3,19871,9918,8768,6520,6128,7976,8575,5608,4664,6416,10224,6487,7224,8584,10744,588,129,149,7,6,4,2,7,1,7,5,6,6,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,3,3,1,2,22,2,12,1,4,1,1,2,Artificial intelligence
4,5,1,3,3,3,4,1,1,3,3,3,1,3,5,12875,13807,13778,11327,6597,12115,7322,4432,7932,10440,11395,13559,7528,66494,14177,362,215,149,3,5,4,5,5,6,6,4,5,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,1,2,24,1,2,1,4,2,1,2,engineering
5,3,1,1,2,1,1,1,1,1,4,1,1,1,5,10005,20586,1095,7864,23070,5517,4754,1762,3757,6117,8134,6910,3567,5040,4782,35,117,195,2,2,6,1,7,5,5,2,7,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,2,2,1,42,1,2,1,4,2,3,7,mechanical engineering 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7692,10574,5447,9517,2593,6952,3192,5132,3914,91304,10863,3294,3461,2173,1428,9,168,225,5,6,4,2,6,4,5,2,6,2,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,2,2,1,1,17,1,2,1,4,1,1,3,Physics 
3,3,1,1,2,3,3,1,1,2,2,2,1,2,4,6232,11382,8175,4459,8988,6569,6829,2452,2352,6166,286269,13751,5002,14465,4368,40,389,153,3,5,3,3,6,6,6,5,5,3,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,2,2,1,1,42,1,2,1,4,2,3,2,
5,5,3,3,2,4,2,3,2,4,4,4,3,1,5,10052,3205,5039,4618,12199,11442,6652,5244,9997,4712,10470,6905,9767,9771,6059,186,118,304,1,3,2,2,7,6,5,7,7,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,1,2,30,2,12,1,4,2,1,3,Computer science 
4,3,4,4,4,5,4,5,4,3,2,1,4,2,5,6189,5805,3600,5104,4032,6583,4849,2951,9849,5680,6120,39464,5480,11552,6120,5,125,97,5,2,7,5,5,6,5,4,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,15,1,10,1,5,2,1,4,
4,5,1,3,5,2,4,1,1,4,4,5,2,5,5,5607,5118,3728,6175,5920,7048,5648,3704,4401,8991,8523,6400,7520,6672,3488,2,91,153,6,3,6,6,7,3,7,5,2,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,3,1,1,58,1,4,1,5,1,2,5,psychology
5,5,1,4,5,4,5,1,1,4,4,5,2,2,4,9987,8343,5872,11331,6376,8197,12705,3446,4727,8963,9358,12099,17796,10169,6565,33,139,195,2,6,3,5,6,6,4,6,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,3,3,1,2,31,1,1,1,4,1,1,2,computer science
2,4,1,1,2,1,5,1,2,5,2,3,2,3,5,6360,22997,6263,16316,12188,14622,13253,6039,7978,20485,10811,17933,16756,13046,12151,65,202,270,5,7,3,4,7,6,6,4,4,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,2,29,1,1,3,4,2,1,2,English
2,4,1,1,1,2,1,1,1,1,4,1,1,2,3,11078,42684,5821,5401,9613,11177,1960,10874,4077,7497,10113,25276,9660,10587,8120,21,176,136,6,6,6,2,7,3,5,2,6,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,4,3,1,2,26,1,1,1,4,2,1,3,Marketing
4,3,2,3,3,5,5,4,1,3,3,4,4,3,3,7074,9864,7270,5540,12331,4866,7806,4389,6456,5392,5173,7096,5992,5798,5086,14,102,105,2,4,2,7,7,7,7,7,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,3,2,18,1,1,2,4,1,1,2,
2,2,2,2,4,2,2,4,1,4,4,1,2,4,5,8931,8701,9257,3480,6688,5209,4240,1992,4152,4304,4384,6553,4160,6144,6265,215,85,78,1,3,6,5,5,3,2,1,3,3,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2,2,1,1,19,1,1,1,4,2,1,4,
2,2,4,2,4,2,2,5,2,2,4,2,5,2,5,6953,6967,2370,9270,508,6165,4028,2872,3458,8312,1573,3994,3703,2086,3100,18,67,80,3,5,4,6,7,3,5,6,2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,1,2,16,1,2,2,4,2,1,2,
4,5,1,3,4,5,4,4,2,5,4,5,2,5,5,8878,12735,8246,6708,5902,6273,7209,3968,10436,6386,7005,14397,5445,13645,10572,51,130,208,6,5,7,2,7,4,6,5,5,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,2,1,1,17,1,12,1,4,2,1,3,
5,3,1,4,5,4,5,4,1,5,3,4,2,2,4,14517,9490,4489,5812,5457,6004,5023,4548,5974,7380,8691,5609,4918,5565,4134,11,99,99,1,5,6,6,7,7,2,4,7,7,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,2,1,16,1,2,2,4,2,1,2,
2,4,2,2,4,2,3,3,2,4,2,2,4,4,3,6171,5136,3437,6428,4843,7224,8088,3341,5424,7518,3850,7329,5351,5353,3870,4,84,98,1,5,3,7,7,7,6,6,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,1,13,1,1,2,4,2,1,3,nope
4,1,1,1,4,2,1,1,1,4,4,1,1,2,5,7614,13064,5063,5008,10032,12024,7048,3024,5048,5960,12296,7688,9808,5552,11296,8,121,142,1,7,7,1,7,6,2,2,7,5,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,2,1,1,2,21,2,2,1,4,1,1,1,
4,2,5,4,5,3,5,4,3,3,4,1,3,4,5,7272,23696,5080,6184,4184,11552,5544,5136,12320,7032,6232,11792,7360,6064,9145,755,129,122,7,7,7,6,7,4,7,5,6,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,2,16,1,3,1,1,2,1,3,
2,1,1,2,3,1,1,1,1,5,4,1,1,2,5,12842,6446,7160,9703,8392,4535,5600,2816,2448,7703,9288,11199,2104,14471,5264,677,112,133,2,7,6,2,7,6,6,2,5,5,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,3,2,1,1,31,1,2,1,4,1,2,2,Anthropology
5,5,1,3,4,4,0,1,4,4,3,3,2,3,4,16724,4967,12520,7360,12040,10208,0,7817,18648,14335,8905,7208,5247,5455,4792,5,137,195,2,5,5,5,5,6,7,5,3,2,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,3,3,2,1,26,1,12,2,4,2,1,2,Fine Art
1,1,3,1,1,1,1,4,1,3,4,1,4,1,4,6115,3807,2936,2696,3448,3792,2552,2288,4192,5088,5312,3423,4832,3625,3328,870,59,115,5,1,5,5,4,1,5,5,5,6,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,50,1,1,1,4,1,1,4,sociology
5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,9990,8877,11700,7048,5683,10317,7935,5010,12100,5321,4780,8248,6469,7304,5748,2,118,227,4,5,4,5,4,3,5,2,4,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,62,2,7,1,4,2,3,5,physcology
1,1,1,2,1,1,1,2,1,5,3,1,2,1,5,7469,10294,7232,14713,4789,6031,5651,5151,4611,6362,17795,12648,11974,7349,9561,4,134,169,3,6,7,2,7,5,5,1,6,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,21,3,1,1,4,1,1,2,Computer Information Systems
2,1,1,2,5,5,2,2,2,4,4,2,3,2,5,7349,5912,2232,3579,4217,3512,4242,1120,6552,1378,5805,6790,4076,5464,2781,199,67,101,2,6,5,1,6,6,3,6,7,5,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,1,1,18,1,11,1,1,2,1,4,Physics
4,1,1,1,2,1,1,1,1,5,2,1,1,1,5,12174,14251,20147,5277,7245,4411,2431,1903,44579,8075,80750,46964,2894,4276,9899,2,268,460,6,5,7,2,7,3,7,6,6,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,2,1,1,1,19,1,1,1,4,1,1,2,
3,2,1,1,1,2,1,2,1,2,3,2,1,2,4,5449,7049,2166,3099,2701,2782,2200,2281,2158,5211,3654,3367,2877,2779,5287,217,55,72,2,2,5,3,5,7,5,3,6,6,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,4,2,1,1,26,1,4,1,1,1,1,3,pharmacy
3,3,1,1,3,3,1,1,3,3,4,4,1,3,4,17888,14144,2519,4016,9485,5337,7332,3199,10815,3504,12980,9615,5336,6280,6371,3,119,190,3,4,4,3,5,5,5,5,5,3,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,1,1,50,1,1,1,4,2,1,2,
2,2,1,1,3,1,1,1,1,3,1,1,1,0,3,8623,7053,2592,2545,4701,5188,2919,2372,2384,4137,2851,21091,2203,0,2801,2,72,58,5,5,5,3,5,5,5,3,5,5,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,2,3,1,1,19,1,2,1,4,2,1,3,History
4,5,2,2,2,4,2,1,1,4,3,2,3,3,4,6691,9669,6855,8247,11305,9820,8575,8263,11039,29514,8999,6552,7642,5842,7027,16,147,180,6,6,7,7,5,5,7,5,1,7,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,2,1,29,1,7,1,4,1,2,1,
5,3,2,4,5,5,2,3,3,2,5,2,4,5,4,4190,9892,4600,5666,4788,6016,4562,4922,7226,6070,4531,9235,10938,4016,4038,599,96,104,1,1,5,3,6,7,5,5,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,1,1,23,1,2,1,4,1,1,3,History
2,2,1,5,4,4,0,3,0,2,4,2,1,5,5,33315,15979,6432,7597,6399,8088,0,9022,0,11903,7662,17980,8498,7428,6365,27,151,267,3,3,7,2,7,6,6,3,6,2,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,4,1,1,1,70,1,7,1,5,2,2,2,Mechanical & civil eng; liberal arts; Philoso
3,2,3,4,3,4,2,3,2,5,4,2,2,5,4,20183,7086,4368,13535,59800,9329,7216,5392,5864,7000,14288,8432,7880,6960,15632,3,432,203,5,5,3,5,5,5,5,4,3,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,1,1,16,1,2,2,4,2,1,3,
4,3,3,3,3,3,3,3,2,3,3,3,3,3,4,8067,15826,4887,6260,5890,10941,4306,2890,5224,14643,13706,15314,4243,20833,7180,18,142,147,3,2,6,5,4,7,5,2,1,6,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,21,1,1,1,4,2,1,3,
4,1,1,4,5,4,1,4,5,5,4,1,1,4,5,29087,8121,6655,3718,8505,4236,4234,5422,8852,4452,6521,11205,7921,5535,6519,47,123,168,6,7,6,2,7,5,7,5,7,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,2,18,1,12,1,5,2,1,3,
3,3,3,3,4,3,3,3,3,4,4,3,3,4,3,8011,7945,7419,5403,4172,7565,6751,7642,8722,6159,4524,4584,5239,7683,3444,3,97,134,2,1,6,5,5,7,6,5,3,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,15,1,8,0,1,2,1,2,
2,3,1,1,2,4,2,1,2,4,3,1,1,3,5,3772,4394,2321,4317,3036,2804,5031,2636,2553,3349,4778,2719,835,6398,2467,1,53,97,2,4,6,5,7,7,3,1,5,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,2,1,1,13,1,2,1,4,1,1,1,
4,4,4,4,4,4,4,3,3,4,4,4,2,4,4,10965,12824,6817,6661,9547,6958,7394,7254,6147,5647,9313,8175,8080,9672,6053,4,125,196,6,6,7,3,6,6,6,1,5,3,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,2,3,2,2,17,1,10,0,2,2,1,2,
5,5,5,3,4,4,2,5,4,4,4,4,5,5,5,313438,13956,12756,17798,6414,9786,9177,3423,8960,7121,26690,9268,6494,9179,4078,12,460,237,4,6,5,4,6,4,3,4,5,4,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,3,3,1,17,1,12,5,4,2,1,2,
1,1,1,4,1,1,1,1,1,1,1,1,1,2,4,9406,9810,5878,11425,5532,4305,37676,3420,6319,8397,6567,9377,7460,7257,5759,1,140,120,7,3,5,1,7,5,5,6,7,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,1,1,17,3,2,2,4,2,1,0,
3,4,1,2,0,4,5,1,1,4,2,4,1,2,4,17402,4971,3612,4523,0,13522,3836,2836,4094,5052,5490,6167,2292,4860,3117,831,84,138,2,3,6,5,5,5,6,1,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,2,2,30,1,10,1,4,2,3,3,Law
3,1,1,2,4,1,2,1,1,2,1,1,1,2,4,9946,9961,5131,4369,5604,5654,5091,2463,3686,40669,4626,2864,1034,11228,2874,15,117,169,6,5,3,3,6,2,3,6,7,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,1,14,1,2,5,5,2,1,2,
5,5,1,2,2,5,5,1,2,5,5,5,1,4,5,3950,4363,2911,3000,4392,4105,3064,2591,4273,4224,3664,3089,3278,3281,2224,2,54,131,1,2,2,7,6,6,6,5,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,2,3,2,1,24,1,1,1,4,2,1,1,Chinese
1,1,1,1,4,1,3,1,3,4,1,1,1,4,4,4602,817,10039,4672,3446,5582,7009,2816,3936,10549,4122,5614,1986,8121,5106,2,83,158,1,5,5,7,2,5,3,1,3,5,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,2,2,25,2,2,1,4,1,2,3,Biology
5,5,3,3,4,5,3,3,4,5,5,3,3,4,5,6102,7765,8225,4757,4044,4940,5351,3542,7717,2784,3431,7004,4183,8578,3542,749,85,100,1,5,6,7,2,7,3,5,1,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,15,1,6,1,4,2,1,2,
